Date,Open,High,Low,Close,Adj Close,Volume
2021-09-30,123.2300033569336,123.83999633789062,119.44000244140625,119.44999694824219,118.62604522705078,1038800
2021-10-01,119.86000061035156,120.87000274658203,118.58999633789062,119.80999755859375,118.98357391357422,1011900
2021-10-04,120.0,121.4800033569336,117.48999786376953,118.33000183105469,117.51378631591797,926000
2021-10-05,118.4800033569336,120.19999694824219,117.77999877929688,118.61000061035156,117.7918472290039,730000
2021-10-06,117.79000091552734,118.48999786376953,114.73999786376953,116.9000015258789,116.0936508178711,919900
2021-10-07,117.25,119.3499984741211,117.02999877929688,118.56999969482422,117.75212860107422,679900
2021-10-08,118.52999877929688,119.87999725341797,118.13999938964844,119.37000274658203,118.5466079711914,665100
2021-10-11,119.72000122070312,123.75,119.52999877929688,122.4000015258789,121.55570220947266,1414500
2021-10-12,121.83999633789062,122.04000091552734,118.69000244140625,119.7300033569336,118.90412139892578,1062100
2021-10-13,119.0199966430664,119.16999816894531,115.95999908447266,118.83999633789062,118.02025604248047,1011000
2021-10-14,119.66999816894531,120.70999908447266,118.52999877929688,120.11000061035156,119.28150177001953,711100
2021-10-15,120.62999725341797,121.66999816894531,119.80999755859375,119.86000061035156,119.0332260131836,986000
2021-10-18,119.0999984741211,119.93000030517578,117.80000305175781,118.37999725341797,117.56343078613281,587700
2021-10-19,119.0999984741211,120.37999725341797,118.73999786376953,119.83999633789062,119.01335906982422,505300
2021-10-20,119.7300033569336,123.27999877929688,119.7300033569336,122.25,121.40673828125,623300
2021-10-21,122.69000244140625,123.12000274658203,121.94999694824219,122.70999908447266,121.86357116699219,449300
2021-10-22,122.94000244140625,123.66999816894531,122.69999694824219,123.31999969482422,122.4693603515625,364100
2021-10-25,123.3499984741211,123.95999908447266,122.41000366210938,122.5999984741211,121.75431823730469,407000
2021-10-26,123.04000091552734,123.68000030517578,122.0,122.95999908447266,122.11184692382812,374200
2021-10-27,122.55999755859375,122.55999755859375,119.54000091552734,119.55000305175781,118.7253646850586,582500
